"5";"Exérèse du thymus vestigial, par thoracotomie"
"AAFA001";"Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie"
"AAFA002";"Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie"
"AAFA003";"Exérèse de lésion du tronc cérébral, par craniotomie"
"AAFA007";"Excision d'une zone épileptogène, par craniotomie"
"AAGB001";"Ablation d’électrode intracérébrale, par voie transcutanée"
"AAJA001";"Évacuation de collection intracérébrale, par craniotomie"
"AAJA002";"Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie"
"AAJA004";"Évacuation d'hématome intracérébral non traumatique, par craniotomie"
"AAJA005";"Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente"
"AAJA006";"Parage de plaie craniocérébrale"
"AAJH002";"Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique"
"AALA001";"Implantation d’électrode de stimulation corticale cérébrale à visée thérapeutique, par craniotomie"
"AALB001";"Implantation d’électrode de stimulation intracérébrale à visée thérapeutique, par voie stéréotaxique"
"AALB002";"Implantation d’électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique"
"AAQM002";"Échographie transfontanellaire de l'encéphale"
"AAQN002";"Spectroscopie par résonance magnétique cérébrale protonique localisée"
"AAQP001";"Électroencéphalographie avec modélisation de sources, sur au moins 32 dérivations"
"AAQP002";"Électroencéphalographie continue ambulatoire sur au moins 8 dérivations, pendant au moins 24 heures [Holter EEG]"
"AAQP003";"Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures"
"AAQP004";"Surveillance électroencéphalographique peropératoire sur au moins 8 dérivations, pendant moins de 4 heures"
"AAQP005";"Surveillance électrocorticographique peropératoire de l'activité encéphalique spontanée et/ou provoquée"
"AAQP006";"Électroencéphalographie de longue durée de 1 à 4 heures sur au moins 8 dérivations, avec enregistrement vidéo"
"AAQP007";"Électroencéphalographie sur au moins 8 dérivations, avec enregistrement d'une durée minimale de 20 minutes"
"AAQP010";"Électroencéphalographie de longue durée de plus de 4 heures sur au moins 8 dérivations, avec enregistrement vidéo"
"AAQP011";"Électroencéphalographie sur au moins 8 dérivations avec enregistrement d'une durée minimale de 20 minutes, au lit du malade"
"AAQP012";"Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures"
"ABCA002";"Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct"
"ABCB001";"Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne"
"ABCC001";"Ventriculoventriculostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne"
"ABCC002";"Ventriculocisternostomie, par vidéochirurgie intracrânienne"
"ABFA006";"Exérèse de lésion du quatrième ventricule, par craniotomie"
"ABFA008";"Exérèse de tumeur de la tente du cervelet, par craniotomie"
"ABFC001";"Exérèse de lésion du troisième ventricule, par vidéochirurgie intracrânienne"
"ABGA001";"Ablation d'un capteur de pression intracrânienne"
"ABGA002";"Ablation d'une dérivation interne du liquide cérébrospinal"
"ABGA004";"Ablation d'une dérivation externe du liquide cérébrospinal"
"ABHB001";"Ponction de liquide cérébrospinal ventriculaire, par voie transcrânienne"
"ABJA002";"Évacuation d'un hématome subdural aigu, par craniotomie"
"ABJA003";"Évacuation d'un hématome subdural chronique unilatéral, par craniotomie"
"ABJA005";"Évacuation d'un hématome extradural supratentoriel, par craniotomie"
"ABJA006";"Évacuation d'un hématome subdural chronique bilatéral, par craniotomie"
"ABJA008";"Évacuation d'un empyème intracrânien extracérébral, par craniotomie"
"ABLB002";"Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne"
"ABLB003";"Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne"
"ABMA001";"Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal"
"ABMP001";"Contrôle et/ou réglage secondaire transcutané d'une valve de dérivation de liquide cérébrospinal à pression d'ouverture réglable"
"ABQP001";"Surveillance continue de la pression intracrânienne, par 24 heures"
"ABSA001";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie"
"ABSA004";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord mastoïdoattical"
"ABSA007";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par craniotomie"
"ABSA009";"Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire de la voûte crânienne, par craniotomie"
"ABSA011";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord nasosphénoidal"
"ABSE001";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par endoscopie"
"ACFA001";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale unilatérale"
"ACFA002";"Exérèse de tumeur extraparenchymateuse de la convexité du cerveau sans atteinte de sinus veineux dural, par craniotomie"
"ACFA004";"Exérèse de tumeur du clivus, par craniotomie"
"ACFA005";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat auditif interne [conduit auditif interne], par abord rétrolabyrinthique présigmoïdien"
"ACFA006";"Exérèse de tumeur de la pointe du rocher sans déroutement du nerf facial, par abord transpétreux"
"ACFA007";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat auditif interne [conduit auditif interne], par abord translabyrinthique"
"ACFA008";"Exérèse de tumeur extraparenchymateuse de la convexité du cervelet sans atteinte de sinus veineux dural, par craniotomie"
"ACFA010";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat auditif interne [conduit auditif interne], par abord infraoccipital rétrosigmoïdien"
"ACFA011";"Exérèse de tumeur de l'étage moyen de la base du crâne, par craniotomie"
"ACFA015";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale"
"ACFA020";"Exérèse de tumeur du clivus, par abord transoral ou nasosphénoïdal"
"ACFA021";"Exérèse de tumeur de la faux du cerveau, par craniotomie"
"ACFA022";"Exérèse de tumeur de la région optochiasmatique et/ou hypothalamique, par craniotomie"
"ACFA027";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat auditif interne [conduit auditif interne], par abord transotique"
"ACFA028";"Exérèse de tumeur extraparenchymateuse de la convexité du cerveau envahissant un sinus veineux dural, par craniotomie"
"ACHA002";"Biopsie de lésion intracrânienne, par craniotomie"
"ACHB001";"Biopsie de lésion intracrânienne, par voie transcrânienne stéréotaxique"
"ACPA001";"Libération d'un conflit vasculonerveux intracrânien, par craniotomie"
"ACQH001";"Scanographie du crâne et de son contenu, avec injection intrathécale de produit de contraste [Cysternoscanner]"
"ACQH003";"Scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste"
"ACQJ002";"Remnographie [IRM] du crâne et de son contenu, avec injection intraveineuse de produit de contraste"
"ACQK001";"Scanographie du crâne et de son contenu, sans injection de produit de contraste"
"ACQK003";"Scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique"
"ACQN001";"Remnographie [IRM] du crâne et de son contenu, sans injection intraveineuse de produit de contraste"
"ACQP001";"Repérage d'une structure nerveuse et guidage peropératoires assistés par ordinateur [Neuronavigation]"
"ADEA002";"Autogreffe du nerf facial extrapétreux"
"ADNH002";"Destruction sélective de branche terminale du nerf trijumeau, par voie transcutanée avec guidage radiologique"
"ADPA010";"Neurotomie vestibulaire, par abord rétrolabyrinthique"
"ADPA018";"Vagotomie tronculaire avec gastroentérostomie, par laparotomie"
"ADQB007";"Mesure du réflexe trigéminopalpébral [réflexe de clignement] [Blink test] et/ou du réflexe massétérin"
"AEFA001";"Exérèse de lésion de la moelle épinière sur un étage vertébral, par abord postérieur"
"AEFA002";"Exérèse de lésion de la moelle épinière sur plusieurs étages vertébraux, par abord postérieur"
"AEFA003";"Exérèse de lésion du cône médullaire, par abord postérieur"
